0	0	5000	10000	15000	20000	25000	30000	35000	
0	[[1.0, 0.0], [0.0, 0.0], [1.0, 1.0], [0.0, 1.0]] [[0.7842622635125897], [0.749087898094702], [0.7842622635125897], [0.749087898094702]]	[[1.0, 1.0], [0.0, 0.0], [1.0, 0.0], [0.0, 1.0]] [[0.9956319505056648], [0.435981000258635], [0.9956319505056648], [0.435981000258635]]	[[0.0, 1.0], [1.0, 0.0], [1.0, 1.0], [0.0, 0.0]] [[0.5819315922463347], [0.9983456482150959], [0.9983456482150959], [0.5819315922463347]]	[[0.0, 0.0], [1.0, 0.0], [1.0, 1.0], [0.0, 1.0]] [[0.42274994751491807], [0.9974254208111362], [0.9974254208111362], [0.42274994751491807]]	[[1.0, 1.0], [1.0, 0.0], [0.0, 1.0], [0.0, 0.0]] [[0.998044794719998], [0.998044794719998], [0.45328464057983836], [0.45328464057983836]]	[[1.0, 1.0], [0.0, 1.0], [0.0, 0.0], [1.0, 0.0]] [[0.9986203589548353], [0.5100084320673528], [0.5100084320673528], [0.9986203589548353]]	[[0.0, 1.0], [1.0, 0.0], [1.0, 1.0], [0.0, 0.0]] [[0.5260811892432312], [0.9988251087583511], [0.9988251087583511], [0.5260811892432312]]	[[0.0, 1.0], [0.0, 0.0], [1.0, 1.0], [1.0, 0.0]] [[0.5130796103321962], [0.5130796103321962], [0.9988581607512692], [0.9988581607512692]]	
1	[[1.0, 0.0], [1.0, 1.0], [0.0, 0.0], [0.0, 1.0]] [[0.8948579561538456], [0.8948579561538456], [0.8808480994200353], [0.8808480994200353]]	[[1.0, 1.0], [0.0, 1.0], [1.0, 0.0], [0.0, 0.0]] [[0.9962841488005668], [0.47637588888789967], [0.9962841488005668], [0.47637588888789967]]	[[0.0, 1.0], [1.0, 0.0], [1.0, 1.0], [0.0, 0.0]] [[0.609896491810235], [0.9985443269865891], [0.9985443269865891], [0.609896491810235]]	[[0.0, 1.0], [1.0, 1.0], [1.0, 0.0], [0.0, 0.0]] [[0.45291464070693377], [0.9977020140239744], [0.9977020140239744], [0.45291464070693377]]	[[1.0, 0.0], [0.0, 1.0], [1.0, 1.0], [0.0, 0.0]] [[0.9985028400016193], [0.520112967202907], [0.9985028400016193], [0.520112967202907]]	[[0.0, 1.0], [1.0, 0.0], [0.0, 0.0], [1.0, 1.0]] [[0.48331905821940213], [0.9984546621120056], [0.48331905821940213], [0.9984546621120056]]	[[1.0, 0.0], [1.0, 1.0], [0.0, 1.0], [0.0, 0.0]] [[0.9986668486698669], [0.9986668486698669], [0.4957754522535185], [0.4957754522535185]]	[[0.0, 1.0], [1.0, 1.0], [1.0, 0.0], [0.0, 0.0]] [[0.5352933051514854], [0.9989483070658621], [0.9989483070658621], [0.5352933051514854]]	
2	[[0.0, 1.0], [1.0, 1.0], [1.0, 0.0], [0.0, 0.0]] [[0.9259464975622335], [0.9397969414196068], [0.9397969414196068], [0.9259464975622335]]	[[1.0, 1.0], [0.0, 1.0], [0.0, 0.0], [1.0, 0.0]] [[0.9971241600823123], [0.522552933396867], [0.522552933396867], [0.9971241600823123]]	[[0.0, 0.0], [1.0, 0.0], [0.0, 1.0], [1.0, 1.0]] [[0.4391791258601548], [0.9971984300097729], [0.4391791258601548], [0.9971984300097729]]	[[0.0, 1.0], [0.0, 0.0], [1.0, 0.0], [1.0, 1.0]] [[0.47965222039245764], [0.47965222039245764], [0.9980925449427779], [0.9980925449427779]]	[[0.0, 1.0], [1.0, 1.0], [0.0, 0.0], [1.0, 0.0]] [[0.6147203043221137], [0.9990693309295738], [0.6147203043221137], [0.9990693309295738]]	[[0.0, 0.0], [1.0, 0.0], [0.0, 1.0], [1.0, 1.0]] [[0.46371895655517364], [0.9984471831568444], [0.46371895655517364], [0.9984471831568444]]	[[0.0, 1.0], [0.0, 0.0], [1.0, 1.0], [1.0, 0.0]] [[0.4950030254222951], [0.4950030254222951], [0.9987639785534341], [0.9987639785534341]]	[[1.0, 1.0], [1.0, 0.0], [0.0, 0.0], [0.0, 1.0]] [[0.9987010413059562], [0.9987010413059562], [0.4623502094686886], [0.4623502094686886]]	
3	[[0.0, 1.0], [1.0, 1.0], [1.0, 0.0], [0.0, 0.0]] [[0.9089677298030141], [0.9282597383158543], [0.9282597383158543], [0.9089677298030141]]	[[1.0, 0.0], [0.0, 1.0], [1.0, 1.0], [0.0, 0.0]] [[0.9973337713588718], [0.5517957871884416], [0.9973337713588718], [0.5517957871884416]]	[[0.0, 0.0], [1.0, 0.0], [1.0, 1.0], [0.0, 1.0]] [[0.4594161248108539], [0.9972861672844757], [0.9972861672844757], [0.4594161248108539]]	[[0.0, 1.0], [1.0, 1.0], [0.0, 0.0], [1.0, 0.0]] [[0.5533060772625599], [0.9985227397099312], [0.5533060772625599], [0.9985227397099312]]	[[0.0, 0.0], [0.0, 1.0], [1.0, 1.0], [1.0, 0.0]] [[0.49428726077074064], [0.49428726077074064], [0.998369130307551], [0.998369130307551]]	[[0.0, 0.0], [1.0, 0.0], [1.0, 1.0], [0.0, 1.0]] [[0.4914453429949091], [0.9985331217176296], [0.9985331217176296], [0.4914453429949091]]	[[1.0, 0.0], [0.0, 1.0], [0.0, 0.0], [1.0, 1.0]] [[0.9988536390011121], [0.5284437986088522], [0.5284437986088522], [0.9988536390011121]]	[[1.0, 0.0], [0.0, 1.0], [0.0, 0.0], [1.0, 1.0]] [[0.9991247361255672], [0.5747840151610353], [0.5747840151610353], [0.9991247361255672]]	
4	[[0.0, 0.0], [0.0, 1.0], [1.0, 1.0], [1.0, 0.0]] [[0.8990916163031444], [0.8990916163031444], [0.9208807245582363], [0.9208807245582363]]	[[0.0, 1.0], [1.0, 0.0], [1.0, 1.0], [0.0, 0.0]] [[0.5904824155649313], [0.9975958458989868], [0.9975958458989868], [0.5904824155649313]]	[[0.0, 1.0], [1.0, 0.0], [0.0, 0.0], [1.0, 1.0]] [[0.503077576973692], [0.9975800907594721], [0.503077576973692], [0.9975800907594721]]	[[1.0, 1.0], [0.0, 0.0], [0.0, 1.0], [1.0, 0.0]] [[0.9977173684667907], [0.46478018253210746], [0.46478018253210746], [0.9977173684667907]]	[[1.0, 1.0], [0.0, 0.0], [0.0, 1.0], [1.0, 0.0]] [[0.9980113675018826], [0.4619637571364829], [0.4619637571364829], [0.9980113675018826]]	[[1.0, 1.0], [0.0, 0.0], [0.0, 1.0], [1.0, 0.0]] [[0.9984643505894294], [0.49640300577542046], [0.49640300577542046], [0.9984643505894294]]	[[0.0, 0.0], [1.0, 1.0], [1.0, 0.0], [0.0, 1.0]] [[0.3882321847359342], [0.9978134942051692], [0.9978134942051692], [0.3882321847359342]]	[[0.0, 1.0], [0.0, 0.0], [1.0, 1.0], [1.0, 0.0]] [[0.49721535522428606], [0.49721535522428606], [0.9987193724555704], [0.9987193724555704]]	
5	[[1.0, 0.0], [1.0, 1.0], [0.0, 0.0], [0.0, 1.0]] [[0.8185211021644837], [0.8185211021644837], [0.770638829860155], [0.770638829860155]]	[[0.0, 1.0], [1.0, 0.0], [0.0, 0.0], [1.0, 1.0]] [[0.5145266052218959], [0.9969074205542542], [0.5145266052218959], [0.9969074205542542]]	[[1.0, 1.0], [1.0, 0.0], [0.0, 0.0], [0.0, 1.0]] [[0.9978961754473511], [0.9978961754473511], [0.5161641508944933], [0.5161641508944933]]	[[0.0, 1.0], [1.0, 1.0], [1.0, 0.0], [0.0, 0.0]] [[0.477934904937733], [0.9980001190389215], [0.9980001190389215], [0.477934904937733]]	[[0.0, 0.0], [1.0, 0.0], [1.0, 1.0], [0.0, 1.0]] [[0.43588580384922415], [0.9979473549681338], [0.9979473549681338], [0.43588580384922415]]	[[0.0, 0.0], [1.0, 1.0], [0.0, 1.0], [1.0, 0.0]] [[0.4671130535281222], [0.9983976555784067], [0.4671130535281222], [0.9983976555784067]]	[[0.0, 0.0], [1.0, 0.0], [0.0, 1.0], [1.0, 1.0]] [[0.44941906975326873], [0.998439033186216], [0.44941906975326873], [0.998439033186216]]	[[0.0, 0.0], [1.0, 0.0], [1.0, 1.0], [0.0, 1.0]] [[0.4410814036501484], [0.9985090898562615], [0.9985090898562615], [0.4410814036501484]]	
6	[[1.0, 0.0], [1.0, 1.0], [0.0, 1.0], [0.0, 0.0]] [[0.8777950876457228], [0.8777950876457228], [0.8555858767084512], [0.8555858767084512]]	[[1.0, 0.0], [0.0, 1.0], [0.0, 0.0], [1.0, 1.0]] [[0.9973453609467358], [0.552590856757565], [0.552590856757565], [0.9973453609467358]]	[[0.0, 1.0], [1.0, 0.0], [1.0, 1.0], [0.0, 0.0]] [[0.5832775021541413], [0.9983721657496785], [0.9983721657496785], [0.5832775021541413]]	[[0.0, 0.0], [1.0, 1.0], [0.0, 1.0], [1.0, 0.0]] [[0.4929166325501282], [0.9980756611283185], [0.4929166325501282], [0.9980756611283185]]	[[1.0, 1.0], [0.0, 0.0], [1.0, 0.0], [0.0, 1.0]] [[0.9981658389487756], [0.46773466831885735], [0.9981658389487756], [0.46773466831885735]]	[[1.0, 1.0], [0.0, 1.0], [1.0, 0.0], [0.0, 0.0]] [[0.9987514159703527], [0.5328806614639358], [0.9987514159703527], [0.5328806614639358]]	[[0.0, 1.0], [1.0, 1.0], [1.0, 0.0], [0.0, 0.0]] [[0.5483255131518816], [0.9989323773900517], [0.9989323773900517], [0.5483255131518816]]	[[1.0, 1.0], [1.0, 0.0], [0.0, 1.0], [0.0, 0.0]] [[0.9989248464222673], [0.9989248464222673], [0.5272689593827359], [0.5272689593827359]]	
7	[[1.0, 0.0], [0.0, 0.0], [1.0, 1.0], [0.0, 1.0]] [[0.8755428254516701], [0.845056054768334], [0.8755428254516701], [0.845056054768334]]	[[1.0, 0.0], [1.0, 1.0], [0.0, 1.0], [0.0, 0.0]] [[0.9969225228459284], [0.9969225228459284], [0.5342734919781555], [0.5342734919781555]]	[[0.0, 0.0], [1.0, 1.0], [0.0, 1.0], [1.0, 0.0]] [[0.47046999827702674], [0.9971734112625348], [0.47046999827702674], [0.9971734112625348]]	[[1.0, 1.0], [0.0, 1.0], [1.0, 0.0], [0.0, 0.0]] [[0.9977929770776485], [0.47722970095337636], [0.9977929770776485], [0.47722970095337636]]	[[0.0, 1.0], [0.0, 0.0], [1.0, 1.0], [1.0, 0.0]] [[0.5297062117108832], [0.5297062117108832], [0.9985037512250586], [0.9985037512250586]]	[[0.0, 0.0], [1.0, 0.0], [1.0, 1.0], [0.0, 1.0]] [[0.43642968529222986], [0.9980095388488237], [0.9980095388488237], [0.43642968529222986]]	[[0.0, 0.0], [1.0, 0.0], [0.0, 1.0], [1.0, 1.0]] [[0.4835295398223621], [0.998512729823082], [0.4835295398223621], [0.998512729823082]]	[[1.0, 0.0], [1.0, 1.0], [0.0, 0.0], [0.0, 1.0]] [[0.9984621434244496], [0.9984621434244496], [0.45577392756778007], [0.45577392756778007]]	
8	[[1.0, 1.0], [1.0, 0.0], [0.0, 1.0], [0.0, 0.0]] [[0.8884353194962745], [0.8884353194962745], [0.8454420639809079], [0.8454420639809079]]	[[0.0, 0.0], [0.0, 1.0], [1.0, 0.0], [1.0, 1.0]] [[0.4256012898500647], [0.4256012898500647], [0.9955381510385122], [0.9955381510385122]]	[[0.0, 1.0], [0.0, 0.0], [1.0, 0.0], [1.0, 1.0]] [[0.5696335083147125], [0.5696335083147125], [0.9983435859479092], [0.9983435859479092]]	[[1.0, 1.0], [0.0, 1.0], [1.0, 0.0], [0.0, 0.0]] [[0.9983038941971348], [0.5121073581952466], [0.9983038941971348], [0.5121073581952466]]	[[0.0, 1.0], [1.0, 0.0], [0.0, 0.0], [1.0, 1.0]] [[0.4631313101073752], [0.998228597814256], [0.4631313101073752], [0.998228597814256]]	[[0.0, 0.0], [1.0, 1.0], [1.0, 0.0], [0.0, 1.0]] [[0.44527642080919916], [0.9983013734172479], [0.9983013734172479], [0.44527642080919916]]	[[1.0, 1.0], [1.0, 0.0], [0.0, 0.0], [0.0, 1.0]] [[0.9985366874198964], [0.9985366874198964], [0.4571682526278543], [0.4571682526278543]]	[[0.0, 0.0], [0.0, 1.0], [1.0, 1.0], [1.0, 0.0]] [[0.4792974936447994], [0.4792974936447994], [0.9987722246166121], [0.9987722246166121]]	
9	[[0.0, 1.0], [1.0, 0.0], [0.0, 0.0], [1.0, 1.0]] [[0.8292681143436593], [0.8681703291552837], [0.8292681143436593], [0.8681703291552837]]	[[0.0, 1.0], [0.0, 0.0], [1.0, 1.0], [1.0, 0.0]] [[0.4535049631266174], [0.4535049631266174], [0.9959488486435639], [0.9959488486435639]]	[[1.0, 0.0], [1.0, 1.0], [0.0, 0.0], [0.0, 1.0]] [[0.997259937703], [0.997259937703], [0.4556411719431276], [0.4556411719431276]]	[[1.0, 1.0], [1.0, 0.0], [0.0, 0.0], [0.0, 1.0]] [[0.9981855077957704], [0.9981855077957704], [0.5007025923920861], [0.5007025923920861]]	[[1.0, 0.0], [1.0, 1.0], [0.0, 1.0], [0.0, 0.0]] [[0.9980508485498795], [0.9980508485498795], [0.4482115289326133], [0.4482115289326133]]	[[1.0, 0.0], [0.0, 0.0], [0.0, 1.0], [1.0, 1.0]] [[0.9989318358737413], [0.5647641438800068], [0.5647641438800068], [0.9989318358737413]]	[[0.0, 0.0], [1.0, 0.0], [0.0, 1.0], [1.0, 1.0]] [[0.5309025471983083], [0.9988823925794895], [0.5309025471983083], [0.9988823925794895]]	[[1.0, 1.0], [0.0, 0.0], [0.0, 1.0], [1.0, 0.0]] [[0.9984341668939136], [0.42856224956798455], [0.42856224956798455], [0.9984341668939136]]	
